Fecha,Consumo,dia_semana,mes,año,semana_año,es_fin_semana,es_festivo,dia_antes_festivo,dia_despues_festivo,semana_navidad,covid_cuarentena,es_mantenimiento,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,lag_32,lag_33,lag_34,lag_35,lag_36,lag_37,lag_38,lag_39,lag_40,lag_41,lag_42,lag_43,lag_44,lag_45,lag_46,lag_47,lag_48,lag_49,lag_50,lag_51,lag_52,lag_53,lag_54,lag_55,lag_56,lag_57,lag_58,lag_59,lag_60,lag_63,lag_70,media_roll_7,std_roll_7,mediana_roll_7,media_roll_14,std_roll_14,mediana_roll_14,media_roll_28,std_roll_28,mediana_roll_28,media_roll_60,std_roll_60,mediana_roll_60,dow_sin,dow_cos,mes_sin,mes_cos
2018-11-17,73384.6844,5,11,2018,46,True,False,False,False,False,False,False,78045.0204,79783.0244,77957.0232,78668.3576,46563.0156,48308.346399999995,71610.0196,74954.0228,76816.6896,77924.0196,78510.6928,47454.0156,47857.35,70495.3516,76640.6892,77110.0196,76794.6866,75958.6845,78767.354,46959.0122,68079.0166,73989.685,74532.352,76186.0185,74389.3434,72871.3526,48946.3468,72042.6837,79218.3528,77773.6853,77913.0198,77770.0193,48341.3448,48598.011099999996,74206.0181,78100.0207,78507.0212,78771.0184,77425.35280000001,78459.3537,47718.0136,73322.3515,79445.6928,79372.3546,79662.0184,80773.0212,78983.6872,47813.345,75328.0179,79522.6861,77480.35519999999,79071.6869,78067.02040000001,80127.6872,49720.0156,74191.3552,79940.6908,79720.6908,77674.68639999999,78906.6892,73249.01999999999,71753.0196,68704.97245714285,14773.608923558773,77957.0232,68210.49637142857,13816.265734937879,75885.35620000001,69579.07835357143,11954.956073480982,74743.1874,71668.99129833333,11574.254288811924,77267.6862,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384
2018-11-18,50966.681599999996,6,11,2018,46,True,False,False,False,False,False,False,73384.6844,78045.0204,79783.0244,77957.0232,78668.3576,46563.0156,48308.346399999995,71610.0196,74954.0228,76816.6896,77924.0196,78510.6928,47454.0156,47857.35,70495.3516,76640.6892,77110.0196,76794.6866,75958.6845,78767.354,46959.0122,68079.0166,73989.685,74532.352,76186.0185,74389.3434,72871.3526,48946.3468,72042.6837,79218.3528,77773.6853,77913.0198,77770.0193,48341.3448,48598.011099999996,74206.0181,78100.0207,78507.0212,78771.0184,77425.35280000001,78459.3537,47718.0136,73322.3515,79445.6928,79372.3546,79662.0184,80773.0212,78983.6872,47813.345,75328.0179,79522.6861,77480.35519999999,79071.6869,78067.02040000001,80127.6872,49720.0156,74191.3552,79940.6908,79720.6908,77674.68639999999,49210.348,47366.0144,68958.496,14846.81564857119,77957.0232,68416.87728571429,13874.478341833206,75885.35620000001,69627.00695,11967.881837523424,74743.1874,71576.957885,11537.624157758546,76963.35459999999,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384
2018-11-19,78276.0208,0,11,2018,47,False,False,False,False,False,False,False,50966.681599999996,73384.6844,78045.0204,79783.0244,77957.0232,78668.3576,46563.0156,48308.346399999995,71610.0196,74954.0228,76816.6896,77924.0196,78510.6928,47454.0156,47857.35,70495.3516,76640.6892,77110.0196,76794.6866,75958.6845,78767.354,46959.0122,68079.0166,73989.685,74532.352,76186.0185,74389.3434,72871.3526,48946.3468,72042.6837,79218.3528,77773.6853,77913.0198,77770.0193,48341.3448,48598.011099999996,74206.0181,78100.0207,78507.0212,78771.0184,77425.35280000001,78459.3537,47718.0136,73322.3515,79445.6928,79372.3546,79662.0184,80773.0212,78983.6872,47813.345,75328.0179,79522.6861,77480.35519999999,79071.6869,78067.02040000001,80127.6872,49720.0156,74191.3552,79940.6908,79720.6908,77894.6876,77817.69,69338.25817142856,14252.688525150154,77957.0232,68638.9724,13540.933782863494,75885.35620000001,69699.16176428572,11844.028882103403,74743.1874,71131.82447166667,11810.367516273443,76805.6881,0.0,1.0,-0.5000000000000004,0.8660254037844384
2018-11-20,75555.3564,1,11,2018,47,False,False,False,False,False,False,False,78276.0208,50966.681599999996,73384.6844,78045.0204,79783.0244,77957.0232,78668.3576,46563.0156,48308.346399999995,71610.0196,74954.0228,76816.6896,77924.0196,78510.6928,47454.0156,47857.35,70495.3516,76640.6892,77110.0196,76794.6866,75958.6845,78767.354,46959.0122,68079.0166,73989.685,74532.352,76186.0185,74389.3434,72871.3526,48946.3468,72042.6837,79218.3528,77773.6853,77913.0198,77770.0193,48341.3448,48598.011099999996,74206.0181,78100.0207,78507.0212,78771.0184,77425.35280000001,78459.3537,47718.0136,73322.3515,79445.6928,79372.3546,79662.0184,80773.0212,78983.6872,47813.345,75328.0179,79522.6861,77480.35519999999,79071.6869,78067.02040000001,80127.6872,49720.0156,74191.3552,79940.6908,78906.6892,80721.6876,73868.68748571428,10298.326558109547,78045.0204,70840.5442,12278.351774982877,77370.35459999999,69892.18562857143,11941.282316218172,75456.35365,71107.74663833334,11794.021900763519,76805.6881,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384
2018-11-21,80054.3564,2,11,2018,47,False,False,False,False,False,False,False,75555.3564,78276.0208,50966.681599999996,73384.6844,78045.0204,79783.0244,77957.0232,78668.3576,46563.0156,48308.346399999995,71610.0196,74954.0228,76816.6896,77924.0196,78510.6928,47454.0156,47857.35,70495.3516,76640.6892,77110.0196,76794.6866,75958.6845,78767.354,46959.0122,68079.0166,73989.685,74532.352,76186.0185,74389.3434,72871.3526,48946.3468,72042.6837,79218.3528,77773.6853,77913.0198,77770.0193,48341.3448,48598.011099999996,74206.0181,78100.0207,78507.0212,78771.0184,77425.35280000001,78459.3537,47718.0136,73322.3515,79445.6928,79372.3546,79662.0184,80773.0212,78983.6872,47813.345,75328.0179,79522.6861,77480.35519999999,79071.6869,78067.02040000001,80127.6872,49720.0156,74191.3552,77674.68639999999,79060.6896,73423.97302857142,10122.22638196503,77957.0232,70629.44874285713,12161.184805891953,76186.023,69933.82895,11959.565440378778,75757.02045000001,71034.65773166667,11751.868235088446,76717.68789999999,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384
2018-11-22,77326.3564,3,11,2018,47,False,False,False,False,False,False,False,80054.3564,75555.3564,78276.0208,50966.681599999996,73384.6844,78045.0204,79783.0244,77957.0232,78668.3576,46563.0156,48308.346399999995,71610.0196,74954.0228,76816.6896,77924.0196,78510.6928,47454.0156,47857.35,70495.3516,76640.6892,77110.0196,76794.6866,75958.6845,78767.354,46959.0122,68079.0166,73989.685,74532.352,76186.0185,74389.3434,72871.3526,48946.3468,72042.6837,79218.3528,77773.6853,77913.0198,77770.0193,48341.3448,48598.011099999996,74206.0181,78100.0207,78507.0212,78771.0184,77425.35280000001,78459.3537,47718.0136,73322.3515,79445.6928,79372.3546,79662.0184,80773.0212,78983.6872,47813.345,75328.0179,79522.6861,77480.35519999999,79071.6869,78067.02040000001,80127.6872,49720.0156,79720.6908,79816.0216,73723.59205714286,10308.102318289459,78045.0204,70781.61565714286,12272.299515131603,76186.023,70071.98387499999,12056.415720789637,75757.02045000001,71132.37441833333,11802.825951460525,76805.6881,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2018-11-23,78778.3532,4,11,2018,47,False,False,False,False,False,False,False,77326.3564,80054.3564,75555.3564,78276.0208,50966.681599999996,73384.6844,78045.0204,79783.0244,77957.0232,78668.3576,46563.0156,48308.346399999995,71610.0196,74954.0228,76816.6896,77924.0196,78510.6928,47454.0156,47857.35,70495.3516,76640.6892,77110.0196,76794.6866,75958.6845,78767.354,46959.0122,68079.0166,73989.685,74532.352,76186.0185,74389.3434,72871.3526,48946.3468,72042.6837,79218.3528,77773.6853,77913.0198,77770.0193,48341.3448,48598.011099999996,74206.0181,78100.0207,78507.0212,78771.0184,77425.35280000001,78459.3537,47718.0136,73322.3515,79445.6928,79372.3546,79662.0184,80773.0212,78983.6872,47813.345,75328.0179,79522.6861,77480.35519999999,79071.6869,78067.02040000001,80127.6872,79940.6908,78932.3532,73372.63948571429,10107.28167434004,77326.3564,70818.02042857143,12292.318801250185,76440.8564,70171.76974642857,12106.159368401608,76299.68685,71592.48009833334,11487.848992803398,76963.35459999999,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384
2018-11-24,72684.3508,5,11,2018,47,True,False,False,False,False,False,False,78778.3532,77326.3564,80054.3564,75555.3564,78276.0208,50966.681599999996,73384.6844,78045.0204,79783.0244,77957.0232,78668.3576,46563.0156,48308.346399999995,71610.0196,74954.0228,76816.6896,77924.0196,78510.6928,47454.0156,47857.35,70495.3516,76640.6892,77110.0196,76794.6866,75958.6845,78767.354,46959.0122,68079.0166,73989.685,74532.352,76186.0185,74389.3434,72871.3526,48946.3468,72042.6837,79218.3528,77773.6853,77913.0198,77770.0193,48341.3448,48598.011099999996,74206.0181,78100.0207,78507.0212,78771.0184,77425.35280000001,78459.3537,47718.0136,73322.3515,79445.6928,79372.3546,79662.0184,80773.0212,78983.6872,47813.345,75328.0179,79522.6861,77480.35519999999,79071.6869,78067.02040000001,74191.3552,73249.01999999999,73477.40131428571,10167.404037201894,77326.3564,71091.18688571428,12432.989686498453,77641.6898,70342.79361071429,12195.587211887292,76717.68789999999,71569.99119833334,11472.167100800973,76963.35459999999,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384
2018-11-25,46522.6828,6,11,2018,47,True,False,False,False,False,False,False,72684.3508,78778.3532,77326.3564,80054.3564,75555.3564,78276.0208,50966.681599999996,73384.6844,78045.0204,79783.0244,77957.0232,78668.3576,46563.0156,48308.346399999995,71610.0196,74954.0228,76816.6896,77924.0196,78510.6928,47454.0156,47857.35,70495.3516,76640.6892,77110.0196,76794.6866,75958.6845,78767.354,46959.0122,68079.0166,73989.685,74532.352,76186.0185,74389.3434,72871.3526,48946.3468,72042.6837,79218.3528,77773.6853,77913.0198,77770.0193,48341.3448,48598.011099999996,74206.0181,78100.0207,78507.0212,78771.0184,77425.35280000001,78459.3537,47718.0136,73322.3515,79445.6928,79372.3546,79662.0184,80773.0212,78983.6872,47813.345,75328.0179,79522.6861,77480.35519999999,79071.6869,49720.0156,49210.348,73377.35365714286,10171.91308694659,77326.3564,71167.92482857143,12439.751929834372,77641.6898,70507.26983214285,12194.980929787906,76717.68789999999,71480.28003833334,11441.504867741145,76805.6881,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384
2018-11-26,78327.3556,0,11,2018,48,False,False,False,False,False,False,False,46522.6828,72684.3508,78778.3532,77326.3564,80054.3564,75555.3564,78276.0208,50966.681599999996,73384.6844,78045.0204,79783.0244,77957.0232,78668.3576,46563.0156,48308.346399999995,71610.0196,74954.0228,76816.6896,77924.0196,78510.6928,47454.0156,47857.35,70495.3516,76640.6892,77110.0196,76794.6866,75958.6845,78767.354,46959.0122,68079.0166,73989.685,74532.352,76186.0185,74389.3434,72871.3526,48946.3468,72042.6837,79218.3528,77773.6853,77913.0198,77770.0193,48341.3448,48598.011099999996,74206.0181,78100.0207,78507.0212,78771.0184,77425.35280000001,78459.3537,47718.0136,73322.3515,79445.6928,79372.3546,79662.0184,80773.0212,78983.6872,47813.345,75328.0179,79522.6861,77480.35519999999,80127.6872,77894.6876,72742.49668571429,11810.452406405697,77326.3564,71040.37742857143,12698.626324713036,77641.6898,70491.68663928572,12226.424471868933,76717.68789999999,70937.79663666667,11840.156386378872,76717.68789999999,0.0,1.0,-0.5000000000000004,0.8660254037844384
2018-11-27,78683.024,1,11,2018,48,False,False,False,False,False,False,False,78327.3556,46522.6828,72684.3508,78778.3532,77326.3564,80054.3564,75555.3564,78276.0208,50966.681599999996,73384.6844,78045.0204,79783.0244,77957.0232,78668.3576,46563.0156,48308.346399999995,71610.0196,74954.0228,76816.6896,77924.0196,78510.6928,47454.0156,47857.35,70495.3516,76640.6892,77110.0196,76794.6866,75958.6845,78767.354,46959.0122,68079.0166,73989.685,74532.352,76186.0185,74389.3434,72871.3526,48946.3468,72042.6837,79218.3528,77773.6853,77913.0198,77770.0193,48341.3448,48598.011099999996,74206.0181,78100.0207,78507.0212,78771.0184,77425.35280000001,78459.3537,47718.0136,73322.3515,79445.6928,79372.3546,79662.0184,80773.0212,78983.6872,47813.345,75328.0179,79522.6861,78067.02040000001,78906.6892,72749.83022857143,11814.476288061354,77326.3564,73309.25885714286,10663.40155217577,78001.02179999999,70475.97241071428,12215.672111179329,76717.68789999999,70951.91331,11848.591022772493,76717.68789999999,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384
2018-11-28,76655.3548,2,11,2018,48,False,False,False,False,False,False,False,78683.024,78327.3556,46522.6828,72684.3508,78778.3532,77326.3564,80054.3564,75555.3564,78276.0208,50966.681599999996,73384.6844,78045.0204,79783.0244,77957.0232,78668.3576,46563.0156,48308.346399999995,71610.0196,74954.0228,76816.6896,77924.0196,78510.6928,47454.0156,47857.35,70495.3516,76640.6892,77110.0196,76794.6866,75958.6845,78767.354,46959.0122,68079.0166,73989.685,74532.352,76186.0185,74389.3434,72871.3526,48946.3468,72042.6837,79218.3528,77773.6853,77913.0198,77770.0193,48341.3448,48598.011099999996,74206.0181,78100.0207,78507.0212,78771.0184,77425.35280000001,78459.3537,47718.0136,73322.3515,79445.6928,79372.3546,79662.0184,80773.0212,78983.6872,47813.345,75328.0179,79071.6869,77674.68639999999,73196.63988571429,11996.00932886794,78327.3556,73310.30645714285,10663.96924850092,78001.02179999999,70573.27024999999,12271.68060276597,76805.6881,70937.91894166666,11838.78831695969,76717.68789999999,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384
2018-11-29,78595.0236,3,11,2018,48,False,False,False,False,False,False,False,76655.3548,78683.024,78327.3556,46522.6828,72684.3508,78778.3532,77326.3564,80054.3564,75555.3564,78276.0208,50966.681599999996,73384.6844,78045.0204,79783.0244,77957.0232,78668.3576,46563.0156,48308.346399999995,71610.0196,74954.0228,76816.6896,77924.0196,78510.6928,47454.0156,47857.35,70495.3516,76640.6892,77110.0196,76794.6866,75958.6845,78767.354,46959.0122,68079.0166,73989.685,74532.352,76186.0185,74389.3434,72871.3526,48946.3468,72042.6837,79218.3528,77773.6853,77913.0198,77770.0193,48341.3448,48598.011099999996,74206.0181,78100.0207,78507.0212,78771.0184,77425.35280000001,78459.3537,47718.0136,73322.3515,79445.6928,79372.3546,79662.0184,80773.0212,78983.6872,47813.345,77480.35519999999,79720.6908,72711.06822857143,11738.181383404128,77326.3564,73217.33014285714,10625.94600069566,77685.6884,70568.29411428572,12269.092374562102,76736.0222,70960.04122333335,11848.367090685366,76725.0207,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2018-11-30,80307.3536,4,11,2018,48,False,False,False,False,False,False,False,78595.0236,76655.3548,78683.024,78327.3556,46522.6828,72684.3508,78778.3532,77326.3564,80054.3564,75555.3564,78276.0208,50966.681599999996,73384.6844,78045.0204,79783.0244,77957.0232,78668.3576,46563.0156,48308.346399999995,71610.0196,74954.0228,76816.6896,77924.0196,78510.6928,47454.0156,47857.35,70495.3516,76640.6892,77110.0196,76794.6866,75958.6845,78767.354,46959.0122,68079.0166,73989.685,74532.352,76186.0185,74389.3434,72871.3526,48946.3468,72042.6837,79218.3528,77773.6853,77913.0198,77770.0193,48341.3448,48598.011099999996,74206.0181,78100.0207,78507.0212,78771.0184,77425.35280000001,78459.3537,47718.0136,73322.3515,79445.6928,79372.3546,79662.0184,80773.0212,78983.6872,79522.6861,79940.6908,72892.3064,11830.747568111992,78327.3556,73132.47294285714,10574.097178211312,77685.6884,70621.32997142857,12301.584365326937,76736.0222,71473.06920000001,11490.14014147155,76805.6881,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384
